Zeit / s	Anzahl Impulse
8,086330E+2	3,000000E+1
8,101490E+2	3,500000E+1
8,116640E+2	2,500000E+1
8,131790E+2	3,500000E+1
8,146950E+2	2,500000E+1
8,162110E+2	3,200000E+1
8,177260E+2	2,700000E+1
8,192420E+2	2,400000E+1
8,207570E+2	3,100000E+1
8,222730E+2	3,600000E+1
8,237890E+2	2,400000E+1
8,253040E+2	3,200000E+1
8,268200E+2	2,300000E+1
8,283360E+2	3,200000E+1
8,298510E+2	3,000000E+1
8,313670E+2	2,800000E+1
8,328820E+2	2,000000E+1
